#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
Russia_East_Arkhangelsk;East Arkhangel'sk;Est d'Arkhangelsk;Ost-Archangelsk;Wschodnie Archangielsk;Este de Arcángel;Est di Arcangelo;Östra Archangelsk;Východní Archangelsk;Keleti Arhangelszk;Oost-Archangelsk;Leste de Arcangel;Восточный Архангельск;Itä-Arhangel'sk;阿尔汉格尔斯克东部
Iran_Razavi_Khorasan;Razavi Khorasan;Khorasan-e Razavi;Razavi-Chorasan;Chorasan-e-Razavi;Jorasan Razavi;Khorasan Razavi;Razavi Khorasan;Razaví Chorásán;Razavi Horászán;Razavi Khorasan;Khorasan Razavi;Разави-Хорасан;Razavi-Khorasan;拉扎维呼罗珊省
Iran_Semnan;Semnan;Semnan;Semnan;Semnan;Semnán;Semnan;Semnan;Semnán;Szemnán;Semnan;Semnan;Семнан;Semnan;塞姆南省
Iran_Sistan_and_Baluchestan;Sistan and Baluchestan;Sistan-et-Baloutchistan;Sistan und Belutschistan;Sistan i Beludżystan;Sistán y Baluchistán;Sistan e Belucistan;Sistan och Baluchistan;Sístán a Balúčistán;Szisztán és Beludzsisztán;Sistan en Beloetsjistan;Sistão e Baluchistão;Систан и Белуджистан;Sistan ja Belutšistan;锡斯坦－俾路支斯坦省
Iran_South_Khorasan;South Khorasan;Khorasan méridional;Süd-Chorasan;Południowy Chorasan;Jorasan Meridional;Khorasan Meridionale;Södra Khorasan;Jižní Chorásán;Déli Horászán;Zuid-Khorasan;Khorasan do Sul;Южный Хорасан;Etelä-Khorasan;南呼罗珊省
Iran_Tehran;Tehran;Téhéran;Teheran;Teheran;Teherán;Teheran;Teheran;Teherán;Teherán;Teheran;Teerã;Тегеран;Teheran;德黑兰省
Iran_West_Azarbaijan;West Azarbaijan;Azerbaïdjan occidental;West-Aserbaidschan;Zachodni Azerbejdżan;Azerbaiyán Occidental;Azerbaigian Occidentale;Västazarbaijan;Západní Ázerbájdžán;Nyugati-Azerbajdzsán;West-Azerbeidzjan;Azerbaijão Ocidental;Западный Азербайджан;Länsi-Azerbaidžan;西阿塞拜疆省
Iran_Yazd;Yazd;Yazd;Yazd;Yazd;Yazd;Yazd;Yazd;Jazd;Jazd;Yazd;Yazd;Йезд;Yazd;亚兹德省
Iran_Zanjan;Zanjan;Zanjan;Zandschan;Zandżan;Zanjan;Zanjan;Zanjan;Zandžán;Zandzsán;Zanjan;Zanjan;Зенджан;Zanjan;赞詹省
Manchukuo_Hulunbuir;Hulunbuir;Hulunbuir;Hulunbuir;Hulunbuir;Hulunbuir;Hulunbuir;Hulunbuir;Chulunbuir;Hulunbuir;Hulunbuir;Hulunbuir;Хулуньбуир;Hulunbuir;呼伦贝尔
Manchukuo_Tongliao;Tongliao;Tongliao;Tongliao;Tongliao;Tongliao;Tongliao;Tongliao;Tungliao;Tungliao;Tongliao;Tongliao;Тунляо;Tongliao;通辽
Manchukuo_Xinganing'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Xingan Ning'an;Синган Нинъань;Xingan Ning'an;兴安宁安
Manchukuo_Daxinganling;Daxing'anling;Grand Khingan;Großes Khingan-Gebirge;Wielki Chingan;Gran Khingan;Grande Khingan;Stora Khingan;Velký Chingan;Nagy Khingan-hegység;Grote Khingan;Grande Khingan;Да Синганлин;Suuri Khingan;大兴安岭
Manchukuo_Harbin;Harbin;Harbin;Harbin;Harbin;Harbin;Harbin;Harbin;Charbin;Harbin;Harbin;Harbin;Харбин;Harbin;哈尔滨
Manchukuo_Heihe;Heihe;Heihe;Heihe;Heihe;Heihe;Heihe;Heihe;Che-che;Heihe;Heihe;Heihe;Хэйхэ;Heihe;黑河
Manchukuo_Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudanjiang;Mudan-ťiang;Mudanjiang;Mudanjiang;Mudanjiang;Муданьцзян;Mudanjiang;牡丹江
Manchukuo_East_Jilin;East Jilin;Jilin oriental;Ost-Jilin;Wschodni Jilin;Jilin Oriental;Jilin Orientale;Östra Jilin;Východní Ťilin;Keleti Csülin;Oost-Jilin;Jilin Oriental;Восточный Цзилинь;Itä-Jilin;吉林东部
Manchukuo_North_Liaoning;North Liaoning;Liaoning septentrional;Nord-Liaoning;Północny Liaoning;Liaoning Septentrional;Liaoning Settentrionale;Norra Liaoning;Severní Liao-ning;Északi Liaoning;Noord-Liaoning;Liaoning do Norte;Северная Ляонин;Pohjois-Liaoning;辽宁北部
Manchukuo_South_Liaoning;South Liaoning;Liaoning méridional;Süd-Liaoning;Południowy Liaoning;Liaoning Meridional;Liaoning Meridionale;Södra Liaoning;Jižní Liao-ning;Déli Liaoning;Zuid-Liaoning;Liaoning do Sul;Южная Ляонин;Etelä-Liaoning;辽宁南部
Manchukuo_South_Jilin;South Jilin;Jilin méridional;Süd-Jilin;Południowy Jilin;Jilin Meridional;Jilin Meridionale;Södra Jilin;Jižní Ťilin;Déli Csülin;Zuid-Jilin;Jilin do Sul;Южный Цзилинь;Etelä-Jilin;吉林南部
Manchukuo_North_Jilin;North Jilin;Jilin septentrional;Nord-Jilin;Północny Jilin;Jilin Septentrional;Jilin Settentrionale;Norra Jilin;Severní Ťilin;Északi Csülin;Noord-Jilin;Jilin do Norte;Северный Цзилинь;Pohjois-Jilin;吉林北部
Manchukuo_Daqing;Daqing;Daqing;Daqing;Daqing;Daqing;Daqing;Daqing;Ta-chching;Daqing;Daqing;Daqing;Дацин;Daqing;大庆
Manchukuo_North-East_Heilongjiang;North-East Heilongjiang;Nord-Est du Heilongjiang;Nordost-Heilongjiang;Północno-Wschodni Heilongjiang;Noreste de Heilongjiang;Nord-Est dell'Heilongjiang;Nordost Heilongjiang;Severo-východní Chej-lung-ťiang;Északkeleti Heilungkiang;Noordoost Heilongjiang;Nordeste de Heilongjiang;Северо-Восточный Хэйлунцзян;Koillis-Heilongjiang;黑龙江东北部
Manchukuo_North_Heilongjiang;North Heilongjiang;Nord du Heilongjiang;Nord-Heilongjiang;Północny Heilongjiang;Norte de Heilongjiang;Nord dell'Heilongjiang;Norra Heilongjiang;Severní Chej-lung-ťiang;Északi Heilungkiang;Noord Heilongjiang;Norte de Heilongjiang;Северный Хэйлунцзян;Pohjois-Heilongjiang;黑龙江北部
Manchukuo_East_Heilongjiang;East Heilongjiang;Est du Heilongjiang;Ost-Heilongjiang;Wschodni Heilongjiang;Este de Heilongjiang;Est dell'Heilongjiang;Östra Heilongjiang;Východní Chej-lung-ťiang;Keleti Heilungkiang;Oost Heilongjiang;Leste de Heilongjiang;Восточный Хэйлунцзян;Itä-Heilongjiang;黑龙江东部
Tibet_Lhasa;Lhasa;Lhassa;Lhasa;Lhasa;Lhasa;Lhasa;Lhasa;Lhasa;Lhasza;Lhasa;Lhasa;Лхаса;Lhasa;拉萨
Tibet_Nagchu;Nagchu;Nagqu;Nagqu;Nagqu;Nagqu;Nagqu;Nagqu;Nakčchu;Nagqu;Nagqu;Nagqu;Нагчу;Nagqu;那曲
Tibet_Ngari;Ngari;Ngari;Ngari;Ngari;Ngari;Ngari;Ngari;Ngari;Ngari;Ngari;Ngari;Нгари;Ngari;阿里
Tibet_Shigatse;Shigatse;Shigatsé;Shigatse;Shigatse;Shigatse;Shigatse;Shigatse;Šigac;Shigatse;Shigatse;Shigatse;Шигатсе;Shigatse;日喀则
Tibet_South_Tibet;South Tibet;Tibet méridional;Süd-Tibet;Południowy Tybet;Tíbet Meridional;Tibet Meridionale;Södra Tibet;Jižní Tibet;Déli Tibet;Zuid-Tibet;Tibete do Sul;Южный Тибет;Etelä-Tibet;藏南
Cambodia_South_Cambodia;South Cambodia;Sud du Cambodge;Süd-Kambodscha;Południowe Kambodża;Camboya Meridional;Cambogia Meridionale;Södra Kambodja;Jižní Kambodža;Déli Kambodzsa;Zuid-Cambodja;Camboja do Sul;Южная Камбоджа;Etelä-Kambodža;柬埔寨南部
Cambodia_East_Cambodia;East Cambodia;Est du Cambodge;Ost-Kambodscha;Wschodnie Kambodża;Camboya Oriental;Cambogia Orientale;Östra Kambodja;Východní Kambodža;Keleti Kambodzsa;Oost-Cambodja;Camboja Oriental;Восточная Камбоджа;Itä-Kambodža;柬埔寨东部
Cambodia_West_Cambodia;West Cambodia;Ouest du Cambodge;West-Kambodscha;Zachodnie Kambodża;Camboya Occidental;Cambogia Occidentale;Västra Kambodja;Západní Kambodža;Nyugati Kambodzsa;West-Cambodja;Camboja Ocidental;Западная Камбоджа;Länsi-Kambodža;柬埔寨西部
China_Central_Nei_Mongol;Central Nei Mongol;Nei Mongol central;Zentral-Nei Mongol;Centralne Nei Mongol;Nei Mongol Central;Nei Mongol Centrale;Centrala Nei Mongol;Střední Nei Mongol;Középső Belső-Mongólia;Centraal Nei Mongol;Nei Mongol Central;Центральная Внутренняя Монголия;Keski-Sisä-Mongolia;内蒙古中部
China_Chongqing;Chongqing;Chongqing;Chongqing;Chongqing;Chongqing;Chongqing;Chongqing;Čchung-čching;Csungking;Chongqing;Chongqing;Чунцин;Chongqing;重庆
China_North_Anhui;North Anhui;Nord de l'Anhui;Nord-Anhui;Północny Anhui;Anhui Septentrional;Anhui Settentrionale;Norra Anhui;Severní An-chuej;Északi Anhuj;Noord-Anhui;Anhui do Norte;Северный Аньхой;Pohjois-Anhui;安徽北部
China_South_Anhui;South Anhui;Sud de l'Anhui;Süd-Anhui;Południowy Anhui;Anhui Meridional;Anhui Meridionale;Södra Anhui;Jižní An-chuej;Déli Anhuj;Zuid-Anhui;Anhui do Sul;Южный Аньхой;Etelä-Anhui;安徽南部
China_Beijing;Beijing;Pékin;Peking;Pekin;Pekín;Pechino;Peking;Peking;Peking;Peking;Pequim;Пекин;Peking;北京
China_Coastal_Fujian;Coastal Fujian;Fujian côtier;Küsten-Fujian;Nadmorski Fujian;Fujian Costero;Fujian Costiero;Kust-Fujian;Pobřežní Fu-ťien;Tengerparti Fujian;Kust-Fujian;Fujian Costeiro;Прибрежный Фуцзянь;Rannikko-Fujian;福建沿海
China_Inner_Fujian;Inner Fujian;Fujian intérieur;Inneres Fujian;Wewnętrzny Fujian;Fujian Interior;Fujian Interno;Inre Fujian;Vnitřní Fu-ťien;Belső Fujian;Binnen-Fujian;Fujian Interior;Внутренний Фуцзянь;Sisä-Fujian;福建内陆
China_West_Guangdong;West Guangdong;Ouest du Guangdong;West-Guangdong;Zachodni Guangdong;Guangdong Occidental;Guangdong Occidentale;Västra Guangdong;Západní Kuang-tung;Nyugati Kuangtung;West-Guangdong;Guangdong Ocidental;Западный Гуандун;Länsi-Guangdong;广东西部
China_East_Guangdong;East Guangdong;Est du Guangdong;Ost-Guangdong;Wschodni Guangdong;Guangdong Oriental;Guangdong Orientale;Östra Guangdong;Východní Kuang-tung;Keleti Kuangtung;Oost-Guangdong;Guangdong Oriental;Восточный Гуандун;Itä-Guangdong;广东东部
China_East_Guangxi;East Guangxi;Est du Guangxi;Ost-Guangxi;Wschodni Guangxi;Guangxi Oriental;Guangxi Orientale;Östra Guangxi;Východní Kuang-si;Keleti Kuanghszi;Oost-Guangxi;Guangxi Oriental;Восточный Гуанси;Itä-Guangxi;广西东部
China_West_Guangxi;West Guangxi;Ouest du Guangxi;West-Guangxi;Zachodni Guangxi;Guangxi Occidental;Guangxi Occidentale;Västra Guangxi;Západní Kuang-si;Nyugati Kuanghszi;West-Guangxi;Guangxi Ocidental;Западный Гуанси;Länsi-Guangxi;广西西部
China_Guizhou;Guizhou;Guizhou;Guizhou;Kuejczou;Guizhou;Guizhou;Guizhou;Kuej-čou;Kujcsou;Guizhou;Guizhou;Гуйчжоу;Guizhou;贵州
China_North_Hunan;North Hunan;Nord du Hunan;Nord-Hunan;Północny Hunan;Hunan Septentrional;Hunan Settentrionale;Norra Hunan;Severní Chu-nan;Északi Hunan;Noord-Hunan;Hunan do Norte;Северный Хунань;Pohjois-Hunan;湖南北部
China_South_Hunan;South Hunan;Sud du Hunan;Süd-Hunan;Południowy Hunan;Hunan Meridional;Hunan Meridionale;Södra Hunan;Jižní Chu-nan;Déli Hunan;Zuid-Hunan;Hunan do Sul;Южный Хунань;Etelä-Hunan;湖南南部
China_Hainan;Hainan;Hainan;Hainan;Hainan;Hainan;Hainan;Hainan;Chaj-nan;Hajnan;Hainan;Hainan;Хайнань;Hainan;海南
China_South_Hebei;South Hebei;Sud du Hebei;Süd-Hebei;Południowy Hebei;Hebei Meridional;Hebei Meridionale;Södra Hebei;Jižní Che-pej;Déli Hopej;Zuid-Hebei;Hebei do Sul;Южный Хэбэй;Etelä-Hebei;河北南部
China_East_Hebei;East Hebei;Est du Hebei;Ost-Hebei;Wschodni Hebei;Hebei Oriental;Hebei Orientale;Östra Hebei;Východní Che-pej;Keleti Hopej;Oost-Hebei;Hebei Oriental;Восточный Хэбэй;Itä-Hebei;河北东部
China_South_Henan;South Henan;Sud du Henan;Süd-Henan;Południowy Henan;Henan Meridional;Henan Meridionale;Södra Henan;Jižní Che-nan;Déli Honan;Zuid-Henan;Henan do Sul;Южный Хэнань;Etelä-Henan;河南南部
China_North_Henan;North Henan;Nord du Henan;Nord-Henan;Północny Henan;Henan Septentrional;Henan Settentrionale;Norra Henan;Severní Che-nan;Északi Honan;Noord-Henan;Henan do Norte;Северный Хэнань;Pohjois-Henan;河南北部
China_West_Hubei;West Hubei;Ouest du Hubei;West-Hubei;Zachodni Hubei;Hubei Occidental;Hubei Occidentale;Västra Hubei;Západní Chu-pej;Nyugati Hupej;West-Hubei;Hubei Ocidental;Западный Хубэй;Länsi-Hubei;湖北西部
China_East_Hubei;East Hubei;Est du Hubei;Ost-Hubei;Wschodni Hubei;Hubei Oriental;Hubei Orientale;Östra Hubei;Východní Chu-pej;Keleti Hupej;Oost-Hubei;Hubei Oriental;Восточный Хубэй;Itä-Hubei;湖北东部
China_North_Jiangsu;North Jiangsu;Nord du Jiangsu;Nord-Jiangsu;Północny Jiangsu;Jiangsu Septentrional;Jiangsu Settentrionale;Norra Jiangsu;Severní Ťiang-su;Északi Csiangszu;Noord-Jiangsu;Jiangsu do Norte;Северный Цзянсу;Pohjois-Jiangsu;江苏北部
China_South_Jiangsu;South Jiangsu;Sud du Jiangsu;Süd-Jiangsu;Południowy Jiangsu;Jiangsu Meridional;Jiangsu Meridionale;Södra Jiangsu;Jižní Ťiang-su;Déli Csiangszu;Zuid-Jiangsu;Jiangsu do Sul;Южный Цзянсу;Etelä-Jiangsu;江苏南部
China_North_Jiangxi;North Jiangxi;Nord du Jiangxi;Nord-Jiangxi;Północny Jiangxi;Jiangxi Septentrional;Jiangxi Settentrionale;Norra Jiangxi;Severní Ťiang-si;Északi Csianghszi;Noord-Jiangxi;Jiangxi do Norte;Северный Цзянси;Pohjois-Jiangxi;江西北部
China_South_Jiangxi;South Jiangxi;Sud du Jiangxi;Süd-Jiangxi;Południowy Jiangxi;Jiangxi Meridional;Jiangxi Meridionale;Södra Jiangxi;Jižní Ťiang-si;Déli Csianghszi;Zuid-Jiangxi;Jiangxi do Sul;Южный Цзянси;Etelä-Jiangxi;江西南部
China_Paracel_Islands;Paracel Islands;Îles Paracel;Paracel-Inseln;Wyspy Paracelskie;Islas Paracel;Isole Paracelso;Paracelöarna;Paracelské ostrovy;Paracel-szigetek;Paracel-eilanden;Ilhas Paracel;Парасельские острова;Paracelinsaaret;西沙群岛
China_North_Shaanxi;North Shaanxi;Nord du Shaanxi;Nord-Shaanxi;Północny Shaanxi;Shaanxi Septentrional;Shaanxi Settentrionale;Norra Shaanxi;Severní Šen-si;Északi Sencsi;Noord-Shaanxi;Shaanxi do Norte;Северный Шэньси;Pohjois-Shaanxi;陕西北部
China_South_Shaanxi;South Shaanxi;Sud du Shaanxi;Süd-Shaanxi;Południowy Shaanxi;Shaanxi Meridional;Shaanxi Meridionale;Södra Shaanxi;Jižní Šen-si;Déli Sencsi;Zuid-Shaanxi;Shaanxi do Sul;Южный Шэньси;Etelä-Shaanxi;陕西南部
China_Inner_Shandong;Inner Shandong;Shandong intérieur;Inneres Shandong;Wewnętrzny Shandong;Shandong Interior;Shandong Interno;Inre Shandong;Vnitřní Šan-tung;Belső Santung;Binnen-Shandong;Shandong Interior;Внутренний Шаньдун;Sisä-Shandong;山东西部（内陆）
China_Coastal_Shandong;Coastal Shandong;Shandong côtier;Küsten-Shandong;Nadmorski Shandong;Shandong Costero;Shandong Costiero;Kust-Shandong;Pobřežní Šan-tung;Tengerparti Santung;Kust-Shandong;Shandong Costeiro;Прибрежный Шаньдун;Rannikko-Shandong;山东沿海
China_Shanghai;Shanghai;Shanghai;Shanghai;Szanghaj;Shanghái;Shanghai;Shanghai;Šanghaj;Sanghaj;Shanghai;Xangai;Шанхай;Shanghai;上海
China_North_Shanxi;North Shanxi;Nord du Shanxi;Nord-Shanxi;Północny Shanxi;Shanxi Septentrional;Shanxi Settentrionale;Norra Shanxi;Severní Šan-si;Északi Sanszi;Noord-Shanxi;Shanxi do Norte;Северный Шаньси;Pohjois-Shanxi;山西北部
China_South_Shanxi;South Shanxi;Sud du Shanxi;Süd-Shanxi;Południowy Shanxi;Shanxi Meridional;Shanxi Meridionale;Södra Shanxi;Jižní Šan-si;Déli Sanszi;Zuid-Shanxi;Shanxi do Sul;Южный Шаньси;Etelä-Shanxi;山西南部
China_Garze_Tibetan;Garze Tibetan;Tibétain de Garze;Tibetisches Garze;Tybetański Garze;Tibetano de Garze;Tibetano di Garze;Tibetanska Garze;Tibetské Garze;Garze-i tibeti;Tibetaans Garze;Tibetano de Garze;Тибетский Гардзе;Tibetiläinen Garze;甘孜藏族自治州
China_East_Sichuan;East Sichuan;Est du Sichuan;Ost-Sichuan;Wschodni Syczuan;Sichuan Oriental;Sichuan Orientale;Östra Sichuan;Východní S’-čchuan;Keleti Szecsuán;Oost-Sichuan;Sichuan Oriental;Восточный Сычуань;Itä-Sichuan;四川东部
China_South_Sichuan;South Sichuan;Sud du Sichuan;Süd-Sichuan;Południowy Syczuan;Sichuan Meridional;Sichuan Meridionale;Södra Sichuan;Jižní S’-čchuan;Déli Szecsuán;Zuid-Sichuan;Sichuan do Sul;Южный Сычуань;Etelä-Sichuan;四川南部
China_Tianjin;Tianjin;Tianjin;Tianjin;Tianjin;Tianjin;Tianjin;Tianjin;Tchien-ťin;Tien-csin;Tianjin;Tianjin;Тяньцзинь;Tianjin;天津
China_North_Yunnan;North Yunnan;Nord du Yunnan;Nord-Yunnan;Północny Junnan;Yunnan Septentrional;Yunnan Settentrionale;Norra Yunnan;Severní Jün-nan;Északi Jünnan;Noord-Yunnan;Yunnan do Norte;Северный Юньнань;Pohjois-Yunnan;云南北部
China_South_Yunnan;South Yunnan;Sud du Yunnan;Süd-Yunnan;Południowy Junnan;Yunnan Meridional;Yunnan Meridionale;Södra Yunnan;Jižní Jün-nan;Déli Jünnan;Zuid-Yunnan;Yunnan do Sul;Южный Юньнань;Etelä-Yunnan;云南南部
China_East_Yunnan;East Yunnan;Est du Yunnan;Ost-Yunnan;Wschodni Junnan;Yunnan Oriental;Yunnan Orientale;Östra Yunnan;Východní Jün-nan;Keleti Jünnan;Oost-Yunnan;Yunnan Oriental;Восточный Юньнань;Itä-Yunnan;云南东部
China_Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;Zhejiang;浙江;Zhejiang;浙江
China_West_Nei_Mongol;West Nei Mongol;Nei-Mongolie Ouest;Westliches Nei-Mongol;Zachodni Nei-Mongol;Nei-Mongolia Occidental;Nei-Mongolia Occidentale;Västra Nei-Mongol;Západní Nei-Mongol;Nyugati Nei-Mongol;West-Nei-Mongolië;Nei-Mongólia Ocidental;Внутренняя Монголия (Запад);Länsi Nei-Mongol;内蒙古西部
China_East_Nei_Mongol;East Nei Mongol;Nei-Mongolie Est;Östliches Nei-Mongol;Wschodni Nei-Mongol;Nei-Mongolia Oriental;Nei-Mongolia Orientale;Östra Nei-Mongol;Východní Nei-Mongol;Keleti Nei-Mongol;Oost-Nei-Mongolië;Nei-Mongólia Oriental;Внутренняя Монголия (Восток);Itä-Nei-Mongol;内蒙古东部
China_East_Turkestan;East Turkestan;Turkestan Est;Ost-Turkestan;Wschodni Turkestan;Turquestán Oriental;Turkestan Orientale;Östra Turkestan;Východní Turkestán;Keleti Türkmenisztán;Oost-Turkestan;Turquestão Oriental;Восточный Туркестан;Itä-Turkestan;东突厥斯坦
China_West_Xinjiang;West Xinjiang;Xinjiang Ouest;West-Xinjiang;Zachodni Xinjiang;Xinjiang Occidental;Xinjiang Occidentale;Västra Xinjiang;Západní Sin-ťiang;Nyugati Hszincsiang;West-Xinjiang;Xinjiang Ocidental;Синьцзян (Запад);Länsi Xinjiang;新疆西部
China_East_Xinjiang;East Xinjiang;Xinjiang Est;Ost-Xinjiang;Wschodni Xinjiang;Xinjiang Oriental;Xinjiang Orientale;Östra Xinjiang;Východní Sin-ťiang;Keleti Hszincsiang;Oost-Xinjiang;Xinjiang Oriental;Синьцзян (Восток);Itä-Xinjiang;新疆东部
Xibei_San_Ma_Gygu_Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Golog Qinghai;Голок Цинхай;Golog Qinghai;果洛青海
Xibei_San_Ma_Northern_Gansu;Northern Gansu;Nord du Gansu;Nord-Gansu;Północny Gansu;Gansu Septentrional;Gansu Settentrionale;Norra Gansu;Severní Kan-su;Északi Kanszu;Noord-Gansu;Gansu do Norte;Северный Ганьсу;Pohjois-Gansu;甘肃北部
Xibei_San_Ma_South_Gansu;South Gansu;Sud du Gansu;Süd-Gansu;Południowy Gansu;Gansu Meridional;Gansu Meridionale;Södra Gansu;Jižní Kan-su;Déli Kanszu;Zuid-Gansu;Gansu do Sul;Южный Ганьсу;Etelä-Gansu;甘肃南部
Xibei_San_Ma_Ningxia_Hui;Ningxia Hui;Ningxia Hui;Ningxia Hui;Ningxia Hui;Ningxia Hui;Ningxia Hui;Ningxia Hui;Ning-sia Chuej;Ninghszia Huj;Ningxia Hui;Ningxia Hui;Нинся-Хуэй;Ningxia Hui;宁夏回族自治区
Xibei_San_Ma_Qinghai;Qinghai;Qinghai;Qinghai;Qinghai;Qinghai;Qinghai;Qinghai;Čching-chaj;Csinghaj;Qinghai;Qinghai;Цинхай;Qinghai;青海
India_West_Uttar_Pradesh;West Uttar Pradesh;Ouest de l'Uttar Pradesh;West-Uttar Pradesh;Zachodni Uttar Pradesh;Uttar Pradesh Occidental;Uttar Pradesh Occidentale;Västra Uttar Pradesh;Západní Uttar Pradéš;Nyugati Uttar Prades;West-Uttar Pradesh;Uttar Pradesh Ocidental;Западный Уттар-Прадеш;Länsi-Uttar Pradesh;北方邦西部
India_West_Madhya_Pradesh;West Madhya Pradesh;Ouest du Madhya Pradesh;West-Madhya Pradesh;Zachodni Madhya Pradesh;Madhya Pradesh Occidental;Madhya Pradesh Occidentale;Västra Madhya Pradesh;Západní Madhja Pradéš;Nyugati Madhja Prades;West-Madhya Pradesh;Madhya Pradesh Ocidental;Западный Мадхья-Прадеш;Länsi-Madhya Pradesh;中央邦西部
India_West_Bengal;West Bengal;Bengale-Occidental;Westbengalen;Zachodnie Bengal;Bengala Occidental;Bengala Occidentale;Västbengalen;Západní Bengálsko;Nyugat-Bengál;West-Bengalen;Bengala Ocidental;Западная Бенгалия;Länsi-Bengali;西孟加拉邦
India_Uttaranchal;Uttaranchal;Uttaranchal;Uttaranchal;Uttaranchal;Uttaranchal;Uttaranchal;Uttaranchal;Uttaráncsal;Uttaráncsal;Uttaranchal;Uttaranchal;Уттаракханд;Uttaranchal;北阿坎德邦
India_Tripura;Tripura;Tripura;Tripura;Tripura;Tripura;Tripura;Tripura;Tripura;Tripura;Tripura;Tripura;Трипура;Tripura;特里普拉邦
India_Tamil_Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Tamil Nadu;Тамил Наду;Tamil Nadu;泰米尔纳德邦
India_South_Rajasthan;South Rajasthan;Rajasthan méridional;Süd-Rajasthan;Południowy Radżastan;Rajastán Meridional;Rajasthan Meridionale;Södra Rajasthan;Jižní Radžasthán;Déli Radzsasztán;Zuid-Rajasthan;Rajasthan do Sul;Южный Раджастхан;Etelä-Rajasthan;拉贾斯坦邦南部
India_South_Karnataka;South Karnataka;Karnataka méridional;Süd-Karnataka;Południowy Karnataka;Karnataka Meridional;Karnataka Meridionale;Södra Karnataka;Jižní Karnátaka;Déli Karnátaka;Zuid-Karnataka;Karnataka do Sul;Южный Карнатака;Etelä-Karnataka;卡纳塔克邦南部
India_South_Gujarat;South Gujarat;Gujarat méridional;Süd-Gujarat;Południowy Gudżarat;Gujarat Meridional;Gujarat Meridionale;Södra Gujarat;Jižní Gudžarát;Déli Gudzsarát;Zuid-Gujarat;Gujarat do Sul;Южный Гуджарат;Etelä-Gujarat;古吉拉特邦南部
India_Sikkim;Sikkim;Sikkim;Sikkim;Sikkim;Sikkim;Sikkim;Sikkim;Sikkim;Szikkim;Sikkim;Sikkim;Сикким;Sikkim;锡金邦
India_Rajasthan;Rajasthan;Rajasthan;Rajasthan;Radżastan;Rajastán;Rajasthan;Rajasthan;Radžasthán;Radzsasztán;Rajasthan;Rajastão;Раджастхан;Rajasthan;拉贾斯坦邦
India_Punjab;Punjab;Pendjab;Punjab;Pendżab;Punjab;Punjab;Punjab;Pandžáb;Pandzsáb;Punjab;Punjab;Пенджаб;Punjab;旁遮普邦
India_Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Puducherry;Пудучерри;Puducherry;本地治里
India_Orissa;Orissa;Orissa;Orissa;Orisa;Orissa;Orissa;Orissa;Orissa;Orisza;Orissa;Orissa;Орисса;Orissa;奥里萨邦
India_North_Karnataka;North Karnataka;Karnataka septentrional;Nord-Karnataka;Północny Karnataka;Karnataka Septentrional;Karnataka Settentrionale;Norra Karnataka;Severní Karnátaka;Északi Karnátaka;Noord-Karnataka;Karnataka do Norte;Северный Карнатака;Pohjois-Karnataka;卡纳塔克邦北部
India_North_Gujarat;North Gujarat;Gujarat septentrional;Nord-Gujarat;Północny Gudżarat;Gujarat Septentrional;Gujarat Settentrionale;Norra Gujarat;Severní Gudžarát;Északi Gudzsarát;Noord-Gujarat;Gujarat do Norte;Северный Гуджарат;Pohjois-Gujarat;古吉拉特邦北部
India_Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Nagaland;Нагаленд;Nagaland;那加兰邦
